Ball Function, Pin Type, Bank, Ball Number

CDONE,          CONFIG, 2, M10
CRESET_B,       CONFIG, 2, N11

IOB_105_SDO,    SPI,   SPI, P12
IOB_106_SDI,    SPI,   SPI, P11
IOB_107_SCK,    SPI,   SPI, R11
IOB_108_SS,     SPI,   SPI, R12

IOT_168,        PIO,   0,  C14
IOT_169,        PIO,   0,  B15
IOT_170,        PIO,   0,  D13
IOT_171,        PIO,   0,  B14
IOT_172,        PIO,   0,  C12
IOT_173,        PIO,   0,  E11
IOT_174,        PIO,   0,  C13
IOT_176,        PIO,   0,  A16
IOT_177,        PIO,   0,  A15
IOT_178,        PIO,   0,  B13
IOT_179,        PIO,   0,  E10
IOT_180,        PIO,   0,  C11
IOT_181,        PIO,   0,  D11
IOT_182,        PIO,   0,  B12
IOT_183,        PIO,   0,  B10
IOT_184,        PIO,   0,  B11
IOT_185,        PIO,   0,  C10
IOT_186,        PIO,   0,  A10
IOT_187,        PIO,   0,  A11
IOT_188,        PIO,   0,  -
IOT_189,        PIO,   0,  -
IOT_190,        PIO,   0,  D10
IOT_191,        PIO,   0,  C9
IOT_192,        PIO,   0,  E9
IOT_193,        PIO,   0,  D9
IOT_194,        PIO,   0,  A9
IOT_195,        PIO,   0,  -
IOT_196,        PIO,   0,  F9
IOT_197_GBIN1,  GBIN,  0,  C8
IOT_198_GBIN0,  GBIN,  0,  F7
IOT_199,        PIO,   0,  B9
IOT_200,        PIO,   0,  D8
IOT_201,        PIO,   0,  -
IOT_202,        PIO,   0,  -
IOT_203,        PIO,   0,  B8
IOT_205,        PIO,   0,  A7
IOT_206,        PIO,   0,  C7
IOT_207,        PIO,   0,  B7
IOT_208,        PIO,   0,  B6
IOT_209,        PIO,   0,  C6
IOT_210,        PIO,   0,  D7
IOT_211,        PIO,   0,  A6
IOT_212,        PIO,   0,  D6
IOT_213,        PIO,   0,  A5
IOT_214,        PIO,   0,  B5
IOT_215,        PIO,   0,  E6
IOT_216,        PIO,   0,  B4
IOT_218,        PIO,   0,  A2
IOT_219,        PIO,   0,  D5
IOT_220,        PIO,   0,  A1
IOT_221,        PIO,   0,  C5
IOT_222,        PIO,   0,  C4
IOT_223,        PIO,   0,  B3
IOT_224,        PIO,   0,  D4
IOT_225,        PIO,   0,  E5
IOT_226,        PIO,   0,  D3
